Linux 3.10.0-693.11.6.el7.x86_64 (blockchainmaster151) 	03/22/2018 	_x86_64_	(32 CPU)

09:28:17 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:29:46 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:29:47 AM     all      0.03      0.00      0.00      0.03      0.00     99.94
09:29:48 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:29:49 AM     all      0.09      0.00      0.00      0.00      0.00     99.91
09:29:50 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:29:51 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:29:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:29:53 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:29:54 AM     all      0.03      0.00      0.03      0.03      0.00     99.91
09:29:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:29:56 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:29:57 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:29:58 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
09:29:59 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:30:00 AM     all      0.06      0.00      0.03      0.03      0.00     99.88
09:30:01 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:02 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:30:04 AM     all      0.03      0.00      0.03      0.03      0.00     99.91
09:30:05 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:30:07 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:30:08 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:30:10 AM     all      0.03      0.00      0.00      0.03      0.00     99.94
09:30:11 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:30:12 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:30:13 AM     all      0.06      0.00      0.03      0.00      0.00     99.91
09:30:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:30:15 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:16 AM     all      0.00      0.00      0.03      0.03      0.00     99.94
09:30:17 AM     all      0.06      0.00      0.03      0.00      0.00     99.91
09:30:18 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:30:19 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:20 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:21 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:30:22 AM     all      0.03      0.00      0.03      0.03      0.00     99.91
09:30:23 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:24 AM     all      0.13      0.00      0.09      0.00      0.00     99.78
09:30:25 AM     all      0.06      0.00      0.03      0.00      0.00     99.91
09:30:26 AM     all      0.00      0.00      0.03      0.03      0.00     99.94
09:30:27 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:30:28 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:29 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:30:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:30:31 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:32 AM     all      0.00      0.00      0.00      0.03      0.00     99.97
09:30:33 AM     all      0.16      0.00      0.03      0.00      0.00     99.81
09:30:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:30:35 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:36 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:30:37 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:38 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:30:39 AM     all      0.00      0.00      0.03      0.03      0.00     99.94
09:30:40 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:41 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:30:42 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:30:44 AM     all      0.03      0.00      0.06      0.00      0.00     99.91
09:30:45 AM     all      0.03      0.00      0.03      0.03      0.00     99.91
09:30:46 AM     all      0.09      0.00      0.06      0.00      0.00     99.84
09:30:47 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:30:48 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:30:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:30:50 AM     all      1.75      0.00      0.59      0.00      0.00     97.65
09:30:51 AM     all      1.72      0.00      0.53      0.94      0.00     96.81
09:30:52 AM     all      0.03      0.00      0.09      0.78      0.00     99.09
09:30:53 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:30:54 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:55 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:56 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:30:57 AM     all      0.00      0.00      0.06      0.03      0.00     99.91
09:30:58 AM     all      0.28      0.00      0.09      0.00      0.00     99.62
09:30:59 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:31:00 AM     all      0.06      0.00      0.03      0.00      0.00     99.91
09:31:01 AM     all      0.03      0.00      0.03      0.03      0.00     99.91
09:31:02 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:31:03 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:31:04 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:31:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:31:06 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:31:07 AM     all      0.03      0.00      0.00      0.03      0.00     99.94
09:31:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:31:09 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
09:31:10 AM     all      0.12      0.00      0.03      0.00      0.00     99.84
09:31:11 AM     all      0.03      0.00      0.03      0.03      0.00     99.91
09:31:12 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:31:13 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:31:14 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:31:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:31:16 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:31:17 AM     all      0.03      0.00      0.03      0.03      0.00     99.91
09:31:18 AM     all      2.03      0.00      0.22      0.00      0.00     97.75
09:31:19 AM     all      3.38      0.00      0.31      0.00      0.00     96.31
09:31:20 AM     all      0.59      0.00      0.09      0.00      0.00     99.31
09:31:21 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:31:22 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:31:23 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:31:24 AM     all      0.13      0.00      0.06      0.03      0.00     99.78
09:31:25 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:31:26 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:31:27 AM     all      0.03      0.00      0.06      0.00      0.00     99.91
09:31:28 AM     all      0.09      0.00      0.03      0.00      0.00     99.88
09:31:29 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
09:31:30 AM     all      0.00      0.00      0.06      0.03      0.00     99.91
09:31:31 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:31:32 AM     all      1.31      0.00      0.28      0.00      0.00     98.41
09:31:33 AM     all      1.97      0.00      0.06      0.00      0.00     97.97
09:31:34 AM     all      1.56      0.00      0.06      0.03      0.00     98.34
09:31:35 AM     all      1.81      0.00      0.06      0.00      0.00     98.12
09:31:36 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:31:37 AM     all      1.53      0.00      0.06      0.00      0.00     98.41
09:31:38 AM     all      1.53      0.00      0.06      0.00      0.00     98.41
09:31:39 AM     all      1.50      0.00      0.06      0.00      0.00     98.44
09:31:40 AM     all      1.59      0.00      0.09      0.03      0.00     98.28
09:31:41 AM     all      1.50      0.00      0.06      0.00      0.00     98.44
09:31:42 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:31:43 AM     all      1.53      0.00      0.03      0.00      0.00     98.44
09:31:44 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:31:45 AM     all      1.56      0.00      0.06      0.00      0.00     98.37
09:31:46 AM     all      1.47      0.00      0.09      0.03      0.00     98.41
09:31:47 AM     all      1.50      0.00      0.06      0.00      0.00     98.44
09:31:48 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:31:49 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:31:50 AM     all      1.53      0.00      0.03      0.03      0.00     98.41
09:31:51 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:31:52 AM     all      1.50      0.00      0.09      0.00      0.00     98.41
09:31:53 AM     all      1.53      0.00      0.09      0.00      0.00     98.37
09:31:54 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:31:55 AM     all      1.41      0.00      0.03      0.00      0.00     98.56
09:31:56 AM     all      1.47      0.00      0.06      0.03      0.00     98.44
09:31:57 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:31:58 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:31:59 AM     all      1.50      0.00      0.12      0.00      0.00     98.38
09:32:00 AM     all      1.50      0.00      0.09      0.00      0.00     98.41
09:32:01 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:32:02 AM     all      1.50      0.00      0.09      0.00      0.00     98.41
09:32:03 AM     all      1.47      0.00      0.06      0.03      0.00     98.44
09:32:04 AM     all      1.50      0.00      0.09      0.00      0.00     98.41
09:32:05 AM     all      1.50      0.00      0.06      0.00      0.00     98.44
09:32:06 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:32:07 AM     all      1.56      0.00      0.06      0.00      0.00     98.37
09:32:08 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
